Id,Title,Language,Year,Search Category,Display Type,Freely Available,Is Pay Per View,Subscription Tiers Permitted
6491cfebe027480d294362f1,Tauba Tauba - Telugu,Telugu,2022,movie,MEDIA,False,False,"['gold', 'silver']"
6319bf66248a110bba66cf85,Choodiwala,Hindi,2022,movie,MEDIA,False,False,"['gold', 'silver']"
6493f498c94cbb0be66613b7,Choodiwala - Tamil,Tamil,2022,movie,MEDIA,False,False,"['gold', 'silver']"
6493fb15f2a4230be8c09c30,Choodiwala - Telugu,Telugu,2022,movie,MEDIA,False,False,"['gold', 'silver']"
62b42cfdc262680bed52e044,Dunali (Season 2) - Part-3,Hindi,2022,series,MEDIA,False,False,"['gold', 'silver']"
62b42fadc262680bed52ed97,Dunali (Season 2) - Part-3 - Tamil,Tamil,2022,series,MEDIA,False,False,"['gold', 'silver']"
62b4766c0cc78b0bba64b64a,Dunali (Season 2) - Part-3 - Telugu,Telugu,2022,series,MEDIA,False,False,"['gold', 'silver']"
64929e31d40ea60bbb3a86d3,Jaal,Hindi,2022,movie,MEDIA,False,False,"['gold', 'silver']"
62ab3cd98e16b70bd5aea0bf,Dunali (Season 2) - Part-2,Hindi,2022,series,MEDIA,False,False,"['gold', 'silver']"
62ab3f09c65aca0be08573e0,Dunali (Season 2) - Part-2 - Tamil,Tamil,2022,series,MEDIA,False,False,"['gold', 'silver']"
62ab40fecc88300bca1f0bc0,Dunali (Season 2) - Part-2 - Telugu,Telugu,2022,series,MEDIA,False,False,"['gold', 'silver']"
62a1c3ef29837e0bcebbd252,Dunali (Season 2) - Part-1,Hindi,2022,series,MEDIA,False,False,"['gold', 'silver']"
649439e0f3b0a60cc823e10e,Damaad Ji - Season 2,Hindi,2022,series,MEDIA,False,False,"['gold', 'silver']"
649441e37a76840bb8f6ebfb,Damaad Ji - Season 2 - Tamil,Tamil,2022,series,MEDIA,False,False,"['gold', 'silver']"
649447151d00490d0c6ab03c,Damaad Ji - Season 2 - Telugu,Telugu,2022,series,MEDIA,False,False,"['gold', 'silver']"
629476cf46e39a0bf6fab472,Wrong Turn (Part-2),Hindi,2022,series,MEDIA,False,False,"['gold', 'silver']"
62a47b9e29837e0bcecb4a07,Wrong Turn (Part-2) - Tamil,Tamil,2022,series,MEDIA,False,False,"['gold', 'silver']"
62a47d1b29837e0bcecb542f,Wrong Turn (Part-2) - Telugu,Telugu,2022,series,MEDIA,False,False,"['gold', 'silver']"
64ef2b76523cd00bec51cb46,Jane Anjane Mein 5,Hindi,2022,series,MEDIA,False,False,"['gold', 'silver']"
64ef47d2898c4b0bd8b02f82,Jane Anjane Mein 5 - Tamil,Tamil,2022,series,MEDIA,False,False,"['gold', 'silver']"
64ef47df898c4b0bd8b02fa0,Jane Anjane Mein 5 - Telugu,Telugu,2022,series,MEDIA,False,False,"['gold', 'silver']"
628b88c323e9aa0bdde361af,Wrong Turn (Part-1),Hindi,2022,series,MEDIA,False,False,"['gold', 'silver']"
62a4440b8e16b70bd58d55f6,Wrong Turn (Part-1) - Tamil,Tamil,2022,series,MEDIA,False,False,"['gold', 'silver']"
62a4475029837e0bcec99ffb,Wrong Turn (Part-1) - Telugu,Telugu,2022,series,MEDIA,False,False,"['gold', 'silver']"
6492b13257d56c0bedc1a90d,Julie Season 2,Hindi,2022,series,MEDIA,False,False,"['gold', 'silver']"
649480417a76840bb8f7bde6,Julie Season 2 - Tamil,Tamil,2022,series,MEDIA,False,False,"['gold', 'silver']"
649483e71d00490d0c6b875b,Julie Season 2 - Telugu,Telugu,2022,series,MEDIA,False,False,"['gold', 'silver']"
6596603c0056e00c874c7b76,Jaghanya (Gaddar),Hindi,2022,movie,MEDIA,False,False,"['gold', 'silver']"
659924ec94e9ad0c795ba19b,Size Matters 2,Hindi,2022,series,MEDIA,False,False,"['gold', 'silver']"
6273e25194f3ea0bb8e176f6,Raja Ka Baja,Hindi,2022,series,MEDIA,False,False,"['gold', 'silver']"
62a2edee247da00bbe28ac94,Raja Ka Baja - Tamil,Tamil,2022,movie,MEDIA,False,False,"['gold', 'silver']"
62a2f743247da00bbe28e90d,Raja Ka Baja - Telugu,Telugu,2022,movie,MEDIA,False,False,"['gold', 'silver']"
626fe4510e64b70c0c463598,Love Next Door,Hindi,2022,movie,MEDIA,False,False,"['gold', 'silver']"
62b1ad128901c00bdcce6f54,Love Next Door - Tamil,Tamil,2022,movie,MEDIA,False,False,"['gold', 'silver']"
62b1b0510cc78b0bba580a7c,Love Next Door - Telugu,Telugu,2022,movie,MEDIA,False,False,"['gold', 'silver']"
626a93a89f91b15daa58b3b5,Saree Ki Dukaan,Hindi,2022,movie,MEDIA,False,False,"['gold', 'silver']"
